Student_ID,first_name,last_name,gender,date_of_birth,social_ID,pass_word
22120031,Dang Thi,Giang,female,8 11 2004,49204001131,KHTN@22120031
22120032,Dang Van,Giang,male,14 11 2004,49204001132,KHTN@22120032
22120033,Hoang Thi,Ha,female,24 4 2004,49204001133,KHTN@22120033
22120034,Nguyen Thi,Ha,female,14 8 2004,49204001134,KHTN@22120034
22120035,Le,Hanh,male,11 10 2004,49204001135,KHTN@22120035
22120036,Le Gia,Hanh,male,25 12 2004,49204001136,KHTN@22120036
22120037,Bui Van,Hieu,male,13 11 2004,49204001137,KHTN@22120037
22120038,Hoang Van,Hieu,male,11 10 2004,49204001138,KHTN@22120038
22120039,Le Thi,Hieu,female,6 3 2004,49204001139,KHTN@22120039
22120040,Nguyen Le,Hieu,male,19 12 2004,49204001140,KHTN@22120040
22120041,Le Thi,Hoang,female,11 11 2004,49204001141,KHTN@22120041
22120042,Ngo Thi,Hoang,female,5 4 2004,49204001142,KHTN@22120042
22120043,Ngo Van,Hung,male,24 5 2004,49204001143,KHTN@22120043
22120044,Phan Thi,Hung,female,26 2 2004,49204001144,KHTN@22120044
22120045,Nguyen Cong,Khanh,male,4 5 2004,49204001145,KHTN@22120045
22120046,Phan Nguyen Duc,Khanh,male,19 7 2004,49204001146,KHTN@22120046
22120047,Nguyen Hoang,Long,male,23 4 2004,49204001147,KHTN@22120047
22120048,Pham Van,Long,male,5 4 2004,49204001148,KHTN@22120048
22120049,Nguyen Van,Minh,male,10 1 2004,49204001149,KHTN@22120049
22120050,Pham Thi,Minh,female,18 3 2004,49204001150,KHTN@22120050
