Student_ID,first_name,last_name,gender,date_of_birth,social_ID,pass_word
22120001,Le Van,An,male,15 6 2004,49204001101,KHTN@22120001
22120002,Bui Thi,An,female,8 9 2004,49204001102,KHTN@22120002
22120003,Nguyen Duc,An,male,15 9 2004,49204001103,KHTN@22120003
22120004,Nguyen Huynh,An,male,9 7 2004,49204001104,KHTN@22120004
22120005,Dang Thi,Anh,female,23 3 2004,49204001105,KHTN@22120005
22120006,Dang Van,Anh,male,6 9 2004,49204001106,KHTN@22120006
22120007,Hoang Thi,Anh,female,1 9 2004,49204001107,KHTN@22120007
22120008,Le,Anh,male,23 12 2004,49204001108,KHTN@22120008
22120009,Le Gia,Anh,male,27 7 2004,49204001109,KHTN@22120009
22120010,Nguyen Thi,Anh,female,1 9 2004,49204001110,KHTN@22120010
22120011,Bui Van,Bao,male,7 1 2004,49204001111,KHTN@22120011
22120012,Hoang Van,Bao,male,5 8 2004,49204001112,KHTN@22120012
22120013,Le Nguyen Gia,Bao,male,3 12 2004,49204001113,KHTN@22120013
22120014,Le Thanh,Bao,male,22 8 2004,49204001114,KHTN@22120014
22120015,Ngo Chi,Bao,male,16 10 2004,49204001115,KHTN@22120015
22120016,Ngo Van,Bao,male,28 3 2004,49204001116,KHTN@22120016
22120017,Nguyen Le,Bao,male,8 1 2004,49204001117,KHTN@22120017
22120018,Phan,Bao,male,5 5 2004,49204001118,KHTN@22120018
22120019,Nguyen Thi,Binh,female,28 7 2004,49204001119,KHTN@22120019
22120020,Phan Nguyen Duc,Binh,male,17 6 2004,49204001120,KHTN@22120020
22120021,Nguyen,Chau,male,12 11 2004,49204001121,KHTN@22120021
22120022,Pham Van,Chau,male,9 8 2004,49204001122,KHTN@22120022
22120023,Nguyen Van,Dieu,male,7 2 2004,49204001123,KHTN@22120023
22120024,Pham Thi,Dieu,female,21 3 2004,49204001124,KHTN@22120024
22120025,Bui Thi,Duc,female,15 6 2004,49204001125,KHTN@22120025
22120026,Le Van,Duc,male,3 6 2004,49204001126,KHTN@22120026
22120027,Nguyen Dinh,Duc,male,27 1 2004,49204001127,KHTN@22120027
22120028,Nguyen Duc,Duc,male,4 4 2004,49204001128,KHTN@22120028
22120029,Nguyen Huynh,Duc,male,12 6 2004,49204001129,KHTN@22120029
22120030,Phan Van,Duc,male,18 6 2004,49204001130,KHTN@22120030
