Student_ID,first_name,last_name,gender,date_of_birth,social_ID,pass_word
22120050,Pham Thi,Minh,female,18 3 2004,49204001150,KHTN@22120050
22120051,Nguyen Dinh,Nam,male,14 5 2004,49204001151,KHTN@22120051
22120052,Phan Van,Nam,male,3 6 2004,49204001152,KHTN@22120052
22120053,Le Van,Nhan,male,16 6 2004,49204001153,KHTN@22120053
22120054,Bui Thi,Nhan,female,20 12 2004,49204001154,KHTN@22120054
22120055,Nguyen Duc,Nhan,male,21 8 2004,49204001155,KHTN@22120055
22120056,Nguyen Huynh,Nhan,male,1 1 2004,49204001156,KHTN@22120056
22120057,Dang Thi,Nhat,female,4 11 2004,49204001157,KHTN@22120057
22120058,Than Trong Khanh,Nhat,male,16 5 2004,49204001158,KHTN@22120058
22120059,Hoang Thi,Phuc,female,25 3 2004,49204001159,KHTN@22120059
22120060,Nguyen Van Hoang,Phuc,male,22 9 2004,49204001160,KHTN@22120060
22120061,Le,Phuong,male,27 2 2004,49204001161,KHTN@22120061
22120062,Le Nguyen Gia,Phuong,male,20 9 2004,49204001162,KHTN@22120062
22120063,Hoang Van,Quyen,male,2 8 2004,49204001163,KHTN@22120063
22120064,Nguyen Le,Quyen,male,9 3 2004,49204001164,KHTN@22120064
22120065,Bui Van,Rin,male,7 1 2004,49204001165,KHTN@22120065
22120066,Le Ngoc,Rin,male,12 10 2004,49204001166,KHTN@22120066
22120067,Ngo,Tay,male,2 2 2004,49204001167,KHTN@22120067
22120068,Nguyen,Tay,male,15 12 2004,49204001168,KHTN@22120068
22120069,Ngo Van,Tien,male,14 7 2004,49204001169,KHTN@22120069
22120070,Phan Thi,Tien,female,22 1 2004,49204001170,KHTN@22120070
