Student_ID,first_name,last_name,gender,date_of_birth,social_ID,pass_word
22120071,Nguyen Cong,Tung,male,10 11 2004,49204001171,KHTN@22120071
22120072,Phan Nguyen Duc,Tung,male,4 7 2004,49204001172,KHTN@22120072
22120073,Nguyen,Thanh,male,6 2 2004,49204001173,KHTN@22120073
22120074,Nguyen Van,Thanh,male,13 5 2004,49204001174,KHTN@22120074
22120075,Pham Thi,Thanh,female,13 8 2004,49204001175,KHTN@22120075
22120076,Pham Van,Thanh,male,6 1 2004,49204001176,KHTN@22120076
22120077,Bui Thi,Tho,female,13 7 2004,49204001177,KHTN@22120077
22120078,Le Van,Tho,male,10 2 2004,49204001178,KHTN@22120078
22120079,Nguyen Dinh,Tho,male,20 7 2004,49204001179,KHTN@22120079
22120080,Phan Van,Tho,male,25 2 2004,49204001180,KHTN@22120080
22120081,Nguyen Duc,Thong,male,24 3 2004,49204001181,KHTN@22120081
22120082,Nguyen Huynh,Thong,male,17 4 2004,49204001182,KHTN@22120082
22120083,Dang Duc,Tri,male,16 5 2004,49204001183,KHTN@22120083
22120084,Dang Van,Tri,male,9 12 2004,49204001184,KHTN@22120084
22120085,Hoang,Tri,male,8 10 2004,49204001185,KHTN@22120085
22120086,Nguyen,Tri,male,7 10 2004,49204001186,KHTN@22120086
22120087,Le,Trinh,male,1 4 2004,49204001187,KHTN@22120087
22120088,Le Kieu,Trinh,male,26 2 2004,49204001188,KHTN@22120088
22120089,Hoang Van,Truc,male,26 2 2004,49204001189,KHTN@22120089
22120090,Nguyen Le,Truc,male,3 3 2004,49204001190,KHTN@22120090
22120091,Bui Van,Trung,male,11 5 2004,49204001191,KHTN@22120091
22120092,Le Ngoc,Trung,male,10 4 2004,49204001192,KHTN@22120092
22120093,Ngo,Trung,male,19 9 2004,49204001193,KHTN@22120093
22120094,Ngo Van,Trung,male,28 1 2004,49204001194,KHTN@22120094
22120095,Nguyen Trinh,Trung,male,18 10 2004,49204001195,KHTN@22120095
22120096,Phan Hoang,Trung,male,21 8 2004,49204001196,KHTN@22120096
22120097,Nguyen Cong,Truong,male,2 10 2004,49204001197,KHTN@22120097
22120098,Phan Nguyen Duc,Truong,male,17 11 2004,49204001198,KHTN@22120098
22120099,Nguyen,Uyen,male,2 12 2004,49204001199,KHTN@22120099
22120100,Pham Thi,Uyen,female,12 4 2004,49204001200,KHTN@22120100
