Student_ID,first_name,last_name,gender,date_of_birth,social_ID,pass_word
22120001,Le Van,An,male,15 6 2004,49204001101,KHTN@22120001
22120002,Bui Thi,An,female,8 9 2004,49204001102,KHTN@22120002
22120003,Nguyen Duc,An,male,15 9 2004,49204001103,KHTN@22120003
22120004,Nguyen Huynh,An,male,9 7 2004,49204001104,KHTN@22120004
22120005,Dang Thi,Anh,female,23 3 2004,49204001105,KHTN@22120005
22120006,Dang Van,Anh,male,6 9 2004,49204001106,KHTN@22120006
22120007,Hoang Thi,Anh,female,1 9 2004,49204001107,KHTN@22120007
22120008,Le,Anh,male,23 12 2004,49204001108,KHTN@22120008
22120009,Le Gia,Anh,male,27 7 2004,49204001109,KHTN@22120009
22120010,Nguyen Thi,Anh,female,1 9 2004,49204001110,KHTN@22120010
22120011,Bui Van,Bao,male,7 1 2004,49204001111,KHTN@22120011
22120012,Hoang Van,Bao,male,5 8 2004,49204001112,KHTN@22120012
22120013,Le Nguyen Gia,Bao,male,3 12 2004,49204001113,KHTN@22120013
22120014,Le Thanh,Bao,male,22 8 2004,49204001114,KHTN@22120014
22120015,Ngo Chi,Bao,male,16 10 2004,49204001115,KHTN@22120015
22120016,Ngo Van,Bao,male,28 3 2004,49204001116,KHTN@22120016
22120017,Nguyen Le,Bao,male,8 1 2004,49204001117,KHTN@22120017
22120018,Phan,Bao,male,5 5 2004,49204001118,KHTN@22120018
22120019,Nguyen Thi,Binh,female,28 7 2004,49204001119,KHTN@22120019
22120020,Phan Nguyen Duc,Binh,male,17 6 2004,49204001120,KHTN@22120020
22120021,Nguyen,Chau,male,12 11 2004,49204001121,KHTN@22120021
22120022,Pham Van,Chau,male,9 8 2004,49204001122,KHTN@22120022
22120023,Nguyen Van,Dieu,male,7 2 2004,49204001123,KHTN@22120023
22120024,Pham Thi,Dieu,female,21 3 2004,49204001124,KHTN@22120024
22120025,Bui Thi,Duc,female,15 6 2004,49204001125,KHTN@22120025
22120026,Le Van,Duc,male,3 6 2004,49204001126,KHTN@22120026
22120027,Nguyen Dinh,Duc,male,27 1 2004,49204001127,KHTN@22120027
22120028,Nguyen Duc,Duc,male,4 4 2004,49204001128,KHTN@22120028
22120029,Nguyen Huynh,Duc,male,12 6 2004,49204001129,KHTN@22120029
22120030,Phan Van,Duc,male,18 6 2004,49204001130,KHTN@22120030
22120031,Dang Thi,Giang,female,8 11 2004,49204001131,KHTN@22120031
22120032,Dang Van,Giang,male,14 11 2004,49204001132,KHTN@22120032
22120033,Hoang Thi,Ha,female,24 4 2004,49204001133,KHTN@22120033
22120034,Nguyen Thi,Ha,female,14 8 2004,49204001134,KHTN@22120034
22120035,Le,Hanh,male,11 10 2004,49204001135,KHTN@22120035
22120036,Le Gia,Hanh,male,25 12 2004,49204001136,KHTN@22120036
22120037,Bui Van,Hieu,male,13 11 2004,49204001137,KHTN@22120037
22120038,Hoang Van,Hieu,male,11 10 2004,49204001138,KHTN@22120038
22120039,Le Thi,Hieu,female,6 3 2004,49204001139,KHTN@22120039
22120040,Nguyen Le,Hieu,male,19 12 2004,49204001140,KHTN@22120040
22120041,Le Thi,Hoang,female,11 11 2004,49204001141,KHTN@22120041
22120042,Ngo Thi,Hoang,female,5 4 2004,49204001142,KHTN@22120042
22120043,Ngo Van,Hung,male,24 5 2004,49204001143,KHTN@22120043
22120044,Phan Thi,Hung,female,26 2 2004,49204001144,KHTN@22120044
22120045,Nguyen Cong,Khanh,male,4 5 2004,49204001145,KHTN@22120045
22120046,Phan Nguyen Duc,Khanh,male,19 7 2004,49204001146,KHTN@22120046
22120047,Nguyen Hoang,Long,male,23 4 2004,49204001147,KHTN@22120047
22120048,Pham Van,Long,male,5 4 2004,49204001148,KHTN@22120048
22120049,Nguyen Van,Minh,male,10 1 2004,49204001149,KHTN@22120049
22120050,Pham Thi,Minh,female,18 3 2004,49204001150,KHTN@22120050
22120051,Nguyen Dinh,Nam,male,14 5 2004,49204001151,KHTN@22120051
22120052,Phan Van,Nam,male,3 6 2004,49204001152,KHTN@22120052
22120053,Le Van,Nhan,male,16 6 2004,49204001153,KHTN@22120053
22120054,Bui Thi,Nhan,female,20 12 2004,49204001154,KHTN@22120054
22120055,Nguyen Duc,Nhan,male,21 8 2004,49204001155,KHTN@22120055
22120056,Nguyen Huynh,Nhan,male,1 1 2004,49204001156,KHTN@22120056
22120057,Dang Thi,Nhat,female,4 11 2004,49204001157,KHTN@22120057
22120058,Than Trong Khanh,Nhat,male,16 5 2004,49204001158,KHTN@22120058
22120059,Hoang Thi,Phuc,female,25 3 2004,49204001159,KHTN@22120059
22120060,Nguyen Van Hoang,Phuc,male,22 9 2004,49204001160,KHTN@22120060
22120061,Le,Phuong,male,27 2 2004,49204001161,KHTN@22120061
22120062,Le Nguyen Gia,Phuong,male,20 9 2004,49204001162,KHTN@22120062
22120063,Hoang Van,Quyen,male,2 8 2004,49204001163,KHTN@22120063
22120064,Nguyen Le,Quyen,male,9 3 2004,49204001164,KHTN@22120064
22120065,Bui Van,Rin,male,7 1 2004,49204001165,KHTN@22120065
22120066,Le Ngoc,Rin,male,12 10 2004,49204001166,KHTN@22120066
22120067,Ngo,Tay,male,2 2 2004,49204001167,KHTN@22120067
22120068,Nguyen,Tay,male,15 12 2004,49204001168,KHTN@22120068
22120069,Ngo Van,Tien,male,14 7 2004,49204001169,KHTN@22120069
